city,geo_key,geo_level,str_density,active_listings,entire_home_count,median_nightly_price,p25_price,p75_price,avg_occupancy,total_revenue,breach_count_90,breach_count_60,breach_count_30,reside_unregistered_count,multi_listing_host_count,commercial_host_share,entire_home_share,multi_listing_host_share,active_share,breach_rate_90,breach_rate_60,breach_rate_30,reside_unregistered_share,professional_management_share,tier_concentration_price,tier_sample_adequate,cluster_label,cluster_distance,risk_priority_score,subdivision,breach_rate,listings_impacted_90,listings_impacted_60,listings_impacted_30
london,West Barnes,subdivision,5,4,3,124.75,102.95,153.75,0.1168,42372.0,1,1,2,0,1,0.0,0.6,0.2,0.8,0.3333,0.3333,0.6667,0.0,0.0,tier_3,True,low_impact,1.3286,26.41,West Barnes,0.3333,1,1,2
london,Forest Gate,subdivision,11,7,5,94.85,49.55,147.1,0.0,52395.0,1,1,1,3,0,0.0,0.4545,0.0,0.6364,0.2,0.2,0.2,0.6,0.0,tier_3,True,low_impact,0.8493,26.23,Forest Gate,0.2,1,1,1
london,Kew,subdivision,7,6,2,145.6,91.75,189.325,0.0518,97617.0,1,1,1,0,1,0.0,0.2857,0.1429,0.8571,0.5,0.5,0.5,0.0,0.0,tier_3,True,low_impact,1.8271,26.17,Kew,0.5,1,1,1
london,Well Hall,subdivision,7,4,2,77.5,58.225,109.825,0.074,22447.0,1,1,1,1,2,0.0,0.2857,0.2857,0.5714,0.5,0.5,0.5,0.5,0.0,tier_3,True,low_impact,1.9624,26.17,Well Hall,0.5,1,1,1
london,Whetstone,subdivision,7,3,2,117.5,27.75,141.85,0.0463,17827.0,1,1,1,0,2,0.0,0.2857,0.2857,0.4286,0.5,0.5,0.5,0.0,0.0,tier_3,True,low_impact,1.952,26.17,Whetstone,0.5,1,1,1
london,Maryland,subdivision,26,19,9,96.55,72.25,201.45,0.1262,212251.0,1,1,1,4,11,0.0385,0.3462,0.4231,0.7308,0.1111,0.1111,0.1111,0.4444,0.0,tier_3,True,low_impact,1.5907,25.9,Maryland,0.1111,1,1,1
london,Hampton Wick,subdivision,6,3,3,113.8,95.15,334.85,0.2297,124114.0,1,1,1,2,2,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.3333,0.6667,0.0,tier_3,True,emerging,1.3697,25.84,Hampton Wick,0.3333,1,1,1
london,Osterley,subdivision,6,4,3,90.4,49.875,144.475,0.1195,56507.0,1,1,1,2,0,0.0,0.5,0.0,0.6667,0.3333,0.3333,0.3333,0.6667,0.0,tier_3,True,low_impact,1.3099,25.84,Osterley,0.3333,1,1,1
london,North Finchley,subdivision,10,5,6,151.4,90.7,184.45,0.0857,59116.0,0,2,4,2,5,0.1,0.6,0.5,0.5,0.0,0.3333,0.6667,0.3333,0.0,tier_3,True,saturated,1.7193,25.78,North Finchley,0.0,0,2,4
london,Churchill Gardens Estate,subdivision,9,7,4,106.9,87.7,239.65,0.3047,220907.0,1,1,1,1,3,0.0,0.4444,0.3333,0.7778,0.25,0.25,0.25,0.25,0.0,tier_3,True,emerging,1.8254,25.76,Churchill Gardens Estate,0.25,1,1,1
london,Kingston Vale,subdivision,3,0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0.3333,1.0,0.3333,0.0,0.0,0.0,0.0,1.0,,tier_3,False,saturated,2.5084,25.75,Kingston Vale,0.0,0,0,0
london,Pollards Hill,subdivision,12,5,5,138.9,35.3,156.05,0.0366,32381.0,1,2,2,3,2,0.0,0.4167,0.1667,0.4167,0.2,0.4,0.4,0.6,0.0,tier_3,True,low_impact,0.5904,25.55,Pollards Hill,0.2,1,2,2
london,West Hendon,subdivision,5,3,2,195.1,121.65,284.45,0.0407,28743.0,1,1,1,1,1,0.0,0.4,0.2,0.6,0.5,0.5,0.5,0.5,0.0,tier_2,True,low_impact,1.7638,25.48,West Hendon,0.5,1,1,1
london,Addiscombe,subdivision,16,7,5,117.3,77.625,201.225,0.0764,37020.0,1,1,1,1,8,0.0625,0.3125,0.5,0.4375,0.2,0.2,0.2,0.2,0.0,tier_3,True,low_impact,1.7965,25.38,Addiscombe,0.2,1,1,1
london,Petersham,subdivision,4,3,2,173.85,164.675,222.1,0.1417,23554.0,1,1,1,0,1,0.0,0.5,0.25,0.75,0.5,0.5,0.5,0.0,0.3333,tier_3,False,emerging,1.1939,25.06,Petersham,0.5,1,1,1
london,Wanstead,subdivision,4,3,2,184.45,64.775,298.2,0.1082,68208.0,1,1,1,1,0,0.0,0.5,0.0,0.75,0.5,0.5,0.5,0.5,0.0,tier_3,False,emerging,1.6993,25.06,Wanstead,0.5,1,1,1
london,West Heath,subdivision,4,2,2,86.7,75.15,155.0,0.3813,40234.0,1,1,1,0,0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,tier_3,False,emerging,1.7352,25.06,West Heath,0.5,1,1,1
london,Worcester Park,subdivision,4,2,2,127.25,86.775,167.725,0.0,22358.0,1,1,1,1,0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,tier_3,False,low_impact,1.8479,25.06,Worcester Park,0.5,1,1,1
london,Southgate,subdivision,8,3,3,154.3,79.45,254.3,0.1417,49510.0,1,1,1,2,2,0.0,0.375,0.25,0.375,0.3333,0.3333,0.3333,0.6667,0.0,tier_3,True,low_impact,1.4722,25.04,Southgate,0.3333,1,1,1
london,Merton Park,subdivision,14,12,8,171.9,96.9,273.8,0.0444,107370.0,0,2,3,2,3,0.0,0.5714,0.2143,0.8571,0.0,0.25,0.375,0.25,0.2222,tier_3,True,low_impact,0.6732,25.03,Merton Park,0.0,0,2,3
london,Waddon,subdivision,13,8,5,56.0,54.9,155.5,0.0444,42727.0,1,1,1,1,5,0.0,0.3846,0.3846,0.6154,0.2,0.2,0.2,0.2,0.0,tier_3,True,low_impact,1.2514,24.95,Waddon,0.2,1,1,1
london,Catford South,subdivision,11,1,4,68.7,16.35,96.825,0.0815,14675.0,1,1,1,0,3,0.0,0.3636,0.2727,0.0909,0.25,0.25,0.25,0.0,0.0,tier_3,True,low_impact,1.0526,24.66,Catford South,0.25,1,1,1
london,Chapel End,subdivision,3,2,2,68.7,34.35,219.85,0.3443,95836.0,1,1,1,0,0,0.0,0.6667,0.0,0.6667,0.5,0.5,0.5,0.0,0.0,tier_3,False,emerging,1.4171,24.58,Chapel End,0.5,1,1,1
london,St Paul's Cray,subdivision,3,2,2,209.0,104.5,256.1,0.1593,62260.0,1,1,1,0,0,0.0,0.6667,0.0,0.6667,0.5,0.5,0.5,0.0,0.0,tier_3,False,emerging,1.3037,24.58,St Paul's Cray,0.5,1,1,1
london,Strand-on-the-Green,subdivision,10,5,5,110.9,102.2,110.9,0.2956,70789.0,0,0,0,4,3,0.2,0.5,0.3,0.5,0.0,0.0,0.0,0.8,0.0,tier_3,True,saturated,2.4284,24.54,Strand-on-the-Green,0.0,0,0,0
