city,geo_key,geo_level,str_density,active_listings,entire_home_count,median_nightly_price,p25_price,p75_price,avg_occupancy,total_revenue,breach_count_90,breach_count_60,breach_count_30,reside_unregistered_count,multi_listing_host_count,commercial_host_share,entire_home_share,multi_listing_host_share,active_share,breach_rate_90,breach_rate_60,breach_rate_30,reside_unregistered_share,professional_management_share
london,Goddington,subdivision,5,4,4,289.25,262.15,297.125,0.0,35513.0,1,2,3,0,3,0.6,0.8,0.6,0.8,0.25,0.5,0.75,0.0,0.0
london,Golders Green,subdivision,34,26,23,184.95,85.4,335.125,0.0595,278780.0,7,9,10,4,15,0.0882,0.6765,0.4412,0.7647,0.3043,0.3913,0.4348,0.1739,0.2
london,Gospel Oak,subdivision,26,12,21,218.7,102.65,346.3,0.1012,495139.0,6,6,8,8,11,0.1538,0.8077,0.4231,0.4615,0.2857,0.2857,0.381,0.381,0.0
london,Gould's Green,subdivision,2,2,1,94.9,81.8,108.0,0.1665,14017.0,0,1,1,0,0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0
london,Grand Union Village,subdivision,1,1,0,49.6,49.6,49.6,0.0,2094.0,0,0,0,0,0,0.0,0.0,0.0,1.0,,,,,
london,Green Street Green,subdivision,1,1,1,437.4,437.4,437.4,0.222,45691.0,1,1,1,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
london,Greenford,subdivision,9,7,5,75.45,71.8,104.55,0.1041,53348.0,1,1,3,2,1,0.1111,0.5556,0.1111,0.7778,0.2,0.2,0.6,0.4,0.0
london,Greenland Place,subdivision,1,1,1,177.0,177.0,177.0,0.0,21984.0,1,1,1,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
london,Greenwich Peninsula,subdivision,15,10,13,203.95,192.625,262.725,0.1088,204549.0,3,4,5,5,7,0.0667,0.8667,0.4667,0.6667,0.2308,0.3077,0.3846,0.3846,0.2
london,Greenwich Town Centre,subdivision,13,6,9,151.9,124.125,247.475,0.024,31649.0,0,1,1,6,1,0.0,0.6923,0.0769,0.4615,0.0,0.1111,0.1111,0.6667,0.0
london,Grove Park,subdivision,10,7,8,301.8,261.775,374.3,0.1014,141335.0,2,3,3,1,1,0.0,0.8,0.1,0.7,0.25,0.375,0.375,0.125,0.0
london,Hackbridge,subdivision,5,2,4,158.9,79.45,161.15,0.189,43531.0,1,1,1,1,0,0.0,0.8,0.0,0.4,0.25,0.25,0.25,0.25,0.0
london,Hackney,subdivision,72,45,47,169.6,81.8,276.3,0.0908,728428.0,11,16,18,14,19,0.0833,0.6528,0.2639,0.625,0.234,0.3404,0.383,0.2979,0.1053
london,Hackney Wick,subdivision,15,9,9,156.9,95.6,181.9,0.2137,119312.0,1,2,2,5,4,0.2,0.6,0.2667,0.6,0.1111,0.2222,0.2222,0.5556,0.0
london,Haggerston,subdivision,53,22,35,186.9,72.55,278.25,0.052,457902.0,8,9,10,17,9,0.0566,0.6604,0.1698,0.4151,0.2286,0.2571,0.2857,0.4857,0.0476
